,NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
139,17015,0.010526315789473684,0.015181518151815182,0.0016260162601626016,0.0,0.0,0.2103825136612022,0.10526315789473684,0.0
140,17050,0.07251908396946564,0.04106280193236715,0.03496143958868895,0.005432814197754437,0.0,0.12719298245614036,0.15916955017301038,0.10114503816793893
141,17202,0.27626459143968873,0.08047292143401984,0.0103359173126615,0.0,0.12345679012345678,0.37777777777777777,0.24362606232294617,0.2158273381294964
142,17408,0.061855670103092786,0.013902681231380337,0.0,0.004632310364794441,0.06521739130434782,0.19834710743801653,0.26013513513513514,0.0
143,17268,0.08108108108108109,0.056804250102165915,0.011204481792717087,0.01003584229390681,0.5089285714285714,0.274582560296846,0.1596958174904943,0.10810810810810811
145,17102,0.0,0.24489795918367346,0.0,0.013227513227513227,0.6046511627906976,0.43636363636363634,0.04666666666666667,0.0
146,17236,0.0,0.029947916666666668,0.036885245901639344,0.0,0.05263157894736842,0.16494845360824742,0.08080808080808081,0.0
147,17240,0.05668016194331984,0.019390581717451522,0.01744186046511628,0.0,0.0,0.16666666666666666,0.0,0.0
150,19344,0.19651741293532338,0.0,0.02702702702702703,0.0,0.0,0.08029197080291971,0.0,0.0
151,19350,0.0,0.0,0.0,0.0017897091722595079,0.0,0.0,0.0,0.022727272727272728
152,19403,0.19438444924406048,0.0,0.019672131147540985,0.006181561285764747,0.15151515151515152,0.0,0.351123595505618,0.1645101663585952
153,19137,0.4883720930232558,0.08149405772495756,0.023696682464454975,0.0,0.42857142857142855,0.3096590909090909,0.1810344827586207,0.0
154,19046,0.0,0.10020449897750511,0.04148148148148148,0.0072602216278181125,0.6428571428571429,0.0,0.07627118644067797,0.04066985645933014
155,19047,0.03484320557491289,0.03560830860534125,0.015069967707212056,0.015135422198619224,0.0,0.02444987775061125,0.10086455331412104,0.009202453987730062
158,19076,0.2361111111111111,0.0,0.0,0.0,0.0,0.29347826086956524,0.2558139534883721,0.0
159,19015,0.0,0.0225,0.043243243243243246,0.014833127317676144,0.2619047619047619,0.3132295719844358,0.30413625304136255,0.09090909090909091
160,19030,0.1968503937007874,0.0,0.0,0.0103359173126615,0.18333333333333332,0.055,0.39195979899497485,0.25
161,19038,0.0,0.017857142857142856,0.04462326261887344,0.011660329531051965,0.16666666666666666,0.08139534883720931,0.11428571428571428,0.0741444866920152
162,19806,0.0,0.0,0.0,0.004570383912248629,1.0,0.0,0.36220472440944884,0.08823529411764706
163,19960,0.07555555555555556,0.0,0.009917355371900827,0.06285714285714286,1.0,1.0,0.0,0.0
